OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
15;Wohnung in Arbon;Ganze Wohnung mitten in der Altstadt von Arbon;CHF 612;CHF 61.20
16;Eigentumswohnung in Gaiserwald;2.5 Zimmer Dachwohnung mit Gartensitzplatz;CHF 1’078;CHF 107.80
17;Wohnung in St. Gallen;BLIV: Grosszügiges Altbaujuwel im Zentrum;CHF 3’421;CHF 342.10
18;Wohnung in St. Gallen;2.5 Zimmer, modern, ruhig und zentrumsnah;CHF 1’373;CHF 137.30
19;Wohnung in Tübach;Bella Vista;CHF 1’205;CHF 120.50
20;Wohnung in Goldach;spezielle Wohnung in Goldach;CHF 748;CHF 74.80
21;Wohnung in St. Gallen;gemütliche Dachwohnung;CHF 913;CHF 91.30
22;Zimmer in St. Gallen;Mein Haus ihr Haus;CHF 501;CHF 50.10
23;Wohnung in Goldach;Charmante Wohnung im Zentrum von Goldach;CHF 771;CHF 77.10
24;Unterkunft in St. Gallen;Historischer Charme in der Altstadt. Superior-DZ;CHF 1’418;CHF 141.80
25;Wohnung in St. Gallen;Kernsanierte Wohnung nähe Bahnhof und Zentrum;CHF 1’150;CHF 115.00
26;Loft in Wittenbach;Bijoux Ferienwohnung auf Bauernhof im Wald;CHF 1’047;CHF 104.70
27;Eigentumswohnung in Rehetobel;Ferienwohnung Narnia;CHF 1’004;CHF 100.40
28;Zimmer in Herisau;gemütliches Zimmer mit Privatsphäre;CHF 428;CHF 42.80
29;Wohnung in Goldach;Modernes Studio nahe Bodensee | Ruhig & zentral;CHF 640;CHF 64.00
30;Wohnung in Speicherschwendi;Studio Trailalps: in der Nähe von St. Gallen;CHF 657;CHF 65.70
31;Zimmer in St. Gallen;Es können zwei Personen darin schlafen.;CHF 397;CHF 39.70
32;Wohnung in St. Gallen;Weltbürger:in 7;CHF 1’185;CHF 118.50
33;Wohnung in Speicherschwendi;Idyllische Wohnung in der Natur;CHF 1’547;CHF 154.70
34;Wohnung in Rorschach;Wohnung 2-3 Bett in Rorschach am Bodensee;CHF 1’022;CHF 102.20
35;Unterkunft in St. Gallen;TouchBed | Budget Zwei-Bett-Zimmer;CHF 878;CHF 87.80
36;Privatunterkunft in Goldach;Haus am Bodensee mit grossem Garten;CHF 1’630;CHF 163.00
37;Wohnung in St. Gallen;Charmante grosse Wohnung nähe Zentrum und Autobahn;CHF 1’071;CHF 107.10
38;Zimmer in Speicher;1er Zimmer ruhig 5 Min. bis ÖV;CHF 602;CHF 60.20
39;Privatunterkunft in Rorschach;Die gesamte MIND the GAP Villa;CHF 5’733;CHF 573.30
40;Zimmer in Sankt Gallen;"Casa Siddhartha - ""H.Hesse""";CHF 429;CHF 42.90
41;Wohnung in St. Gallen;gemütliche Wohnung;CHF 1’405;CHF 140.50
42;Wohnung in Heiden;Ferienwohnung klein aber fein;CHF 840;CHF 84.00
43;Unterkunft in St. Gallen;Stilvolles, historisches Doppelzimmer/ Altstadt;CHF 1’117;CHF 111.70
44;Wohnung in St. Gallen;Modernes Apartment mit Balkon & Parkplatz/Nähe See;CHF 2’013;CHF 201.30
