category,name,original_price,discounted_price,price_per_night
OLMA (08.10.2026 - 18.10.2026),"2 Zimmer mit Balkon, Netflix und Mietfahrräder",1’046 CHF,,1046
OLMA (08.10.2026 - 18.10.2026),Historischer Charme in der Altstadt. Superior-DZ,1’418 CHF,1’239 CHF,123.9
OLMA (08.10.2026 - 18.10.2026),"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",842 CHF,,842
OLMA (08.10.2026 - 18.10.2026),Gästezimmer mit Dusche/WC,750 CHF,688 CHF,68.8
OLMA (08.10.2026 - 18.10.2026),Ganze Wohnung mitten in der Altstadt von Arbon,690 CHF,612 CHF,61.2
OLMA (08.10.2026 - 18.10.2026),Idyllische Wohnung in der Natur,1’547 CHF,1’426 CHF,142.6
OLMA (08.10.2026 - 18.10.2026),Studio mit Charme und Aussicht,710 CHF,600 CHF,60
OLMA (08.10.2026 - 18.10.2026),Fühlen sie sich wie zu Hause,589 CHF,539 CHF,53.9
OLMA (08.10.2026 - 18.10.2026),gemütliche Dachwohnung,982 CHF,900 CHF,90
OLMA (08.10.2026 - 18.10.2026),"2.5 Zimmer, modern, ruhig und zentrumsnah",1’373 CHF,,1373
OLMA (08.10.2026 - 18.10.2026),Bella Vista,1’202 CHF,1’000 CHF,100
OLMA (08.10.2026 - 18.10.2026),Ferienwohnung Narnia,1’001 CHF,873 CHF,87.3
OLMA (08.10.2026 - 18.10.2026),2.5 Zimmer Dachwohnung mit Gartensitzplatz,1’078 CHF,,1078
OLMA (08.10.2026 - 18.10.2026),Charmante Wohnung im Zentrum von Goldach,831 CHF,767 CHF,76.7
OLMA (08.10.2026 - 18.10.2026),Bijoux Ferienwohnung auf Bauernhof im Wald,1’047 CHF,916 CHF,91.6
OLMA (08.10.2026 - 18.10.2026),"Stilvolles, historisches Doppelzimmer/ Altstadt",1’114 CHF,1’021 CHF,102.1
OLMA (08.10.2026 - 18.10.2026),Weltbürger:in 7,1’185 CHF,1’090 CHF,109
OLMA (08.10.2026 - 18.10.2026),gemütliches Zimmer mit Privatsphäre,428 CHF,,428
OLMA (08.10.2026 - 18.10.2026),Mein Haus ihr Haus,547 CHF,501 CHF,50.1
OLMA (08.10.2026 - 18.10.2026),Kernsanierte Wohnung nähe Bahnhof und Zentrum,1’150 CHF,,1150
OLMA (08.10.2026 - 18.10.2026),TouchBed | Budget Zwei-Bett-Zimmer,878 CHF,,878
OLMA (08.10.2026 - 18.10.2026),Die gesamte MIND the GAP Villa,5’733 CHF,,5733
OLMA (08.10.2026 - 18.10.2026),1er Zimmer ruhig 5 Min. bis ÖV,660 CHF,602 CHF,60.2
OLMA (08.10.2026 - 18.10.2026),Haus am Bodensee mit grossem Garten,1’630 CHF,1’505 CHF,150.5
